распределение,кодирование,параметры,среднее битов,compression_vs_fixed,note
Geom p=0.20,Fixed,16b,16.0,1.0,
Geom p=0.20,Elias-γ,-,4.12142,3.882157120604064,
Geom p=0.20,Elias-δ,-,4.58181,3.492069727902292,
Geom p=0.20,Fibonacci,-,4.14267,3.8622434323757386,
Geom p=0.20,Rice,k=0,5.00437,3.197205642268657,
Geom p=0.20,Rice,k=1,3.77987,4.232949810443216,
Geom p=0.20,Rice,k=2,3.69426,4.33104329419153,best Rice
Geom p=0.20,Rice,k=3,4.20189,3.807810294891109,
Geom p=0.20,Rice,k=4,5.02906,3.1815090692892904,
Geom p=0.20,Rice,k=5,6.00075,2.6663333749947924,
Geom p=0.20,Rice,k=6,7.0,2.2857142857142856,
Geom p=0.20,Rice,k=7,8.0,2.0,
Geom p=0.20,Rice,k=8,9.0,1.7777777777777777,
Geom p=0.20,Rice,k=9,10.0,1.6,
Geom p=0.20,Rice,k=10,11.0,1.4545454545454546,
Geom p=0.10,Fixed,16b,16.0,1.0,
Geom p=0.10,Elias-γ,-,5.6953,2.8093340122557198,
Geom p=0.10,Elias-δ,-,6.09811,2.623763756311382,
Geom p=0.10,Fibonacci,-,5.27689,3.03208897665102,
Geom p=0.10,Rice,k=0,9.98761,1.6019848592405992,
Geom p=0.10,Rice,k=1,6.25808,2.556694705085266,
Geom p=0.10,Rice,k=2,4.90573,3.261492173438,
Geom p=0.10,Rice,k=3,4.75477,3.3650418421921566,best Rice
Geom p=0.10,Rice,k=4,5.22778,3.060572556611028,
Geom p=0.10,Rice,k=5,6.03579,2.650854320644025,
Geom p=0.10,Rice,k=6,7.00105,2.285371479992287,
Geom p=0.10,Rice,k=7,8.0,2.0,
Geom p=0.10,Rice,k=8,9.0,1.7777777777777777,
Geom p=0.10,Rice,k=9,10.0,1.6,
Geom p=0.10,Rice,k=10,11.0,1.4545454545454546,
Heavy (Pareto α=1.2),Fixed,16b,16.0,1.0,
Heavy (Pareto α=1.2),Elias-γ,-,2.54584,6.2847625930930455,
Heavy (Pareto α=1.2),Elias-δ,-,2.81432,5.685209926376531,
Heavy (Pareto α=1.2),Fibonacci,-,3.03645,5.269311202226284,
Heavy (Pareto α=1.2),Rice,k=0,5.03755,3.1761471350160293,
Heavy (Pareto α=1.2),Rice,k=1,3.88026,4.1234350275497,
Heavy (Pareto α=1.2),Rice,k=2,3.84987,4.155984487787899,best Rice
Heavy (Pareto α=1.2),Rice,k=3,4.37448,3.6575775863645505,
Heavy (Pareto α=1.2),Rice,k=4,5.162,3.0995738086013174,
Heavy (Pareto α=1.2),Rice,k=5,6.06909,2.6363095620595507,
Heavy (Pareto α=1.2),Rice,k=6,7.02921,2.2762159616799043,
Heavy (Pareto α=1.2),Rice,k=7,8.01222,1.9969496593952738,
Heavy (Pareto α=1.2),Rice,k=8,9.00505,1.7767808063253396,
Heavy (Pareto α=1.2),Rice,k=9,10.00203,1.599675265921018,
Heavy (Pareto α=1.2),Rice,k=10,11.00083,1.4544357107600063,
Mixed small+spikes,Fixed,16b,16.0,1.0,
Mixed small+spikes,Elias-γ,-,7.05764,2.2670467748425818,
Mixed small+spikes,Elias-δ,-,6.9502,2.3020920261287445,
Mixed small+spikes,Fibonacci,-,6.23106,2.5677814047690117,
Mixed small+spikes,Rice,k=0,325.21532,0.049198174304949716,
Mixed small+spikes,Rice,k=1,163.85766,0.0976457249542072,
Mixed small+spikes,Rice,k=2,83.72043,0.19111225300682283,
Mixed small+spikes,Rice,k=3,44.1521,0.3623836691799484,
Mixed small+spikes,Rice,k=4,24.95407,0.6411779721704716,
Mixed small+spikes,Rice,k=5,15.94041,1.0037382978229543,
Mixed small+spikes,Rice,k=6,11.93201,1.3409308238930406,
Mixed small+spikes,Rice,k=7,10.42886,1.5342041220229248,
Mixed small+spikes,Rice,k=8,10.17583,1.5723533117200268,best Rice
Mixed small+spikes,Rice,k=9,10.55429,1.5159712306559703,
Mixed small+spikes,Rice,k=10,11.24971,1.4222588848956994,
Uniform 1..100,Fixed,16b,16.0,1.0,
Uniform 1..100,Elias-γ,-,10.59926,1.5095393451995707,
Uniform 1..100,Elias-δ,-,9.64053,1.6596597904886972,
Uniform 1..100,Fibonacci,-,8.79044,1.8201591729196718,
Uniform 1..100,Rice,k=0,50.53298,0.3166249051609464,
Uniform 1..100,Rice,k=1,26.51677,0.6033917403967376,
Uniform 1..100,Rice,k=2,15.0086,1.0660554615353863,
Uniform 1..100,Rice,k=3,9.7641,1.6386558925041737,
Uniform 1..100,Rice,k=4,7.64184,2.0937365869999893,
Uniform 1..100,Rice,k=5,7.07939,2.2600817302055685,best Rice
Uniform 1..100,Rice,k=6,7.36083,2.1736679151671754,
Uniform 1..100,Rice,k=7,8.0,2.0,
Uniform 1..100,Rice,k=8,9.0,1.7777777777777777,
Uniform 1..100,Rice,k=9,10.0,1.6,
Uniform 1..100,Rice,k=10,11.0,1.4545454545454546,
